时间,铜价格,M2增速,美联储资产负债表https://www.macroview.club/view_chart?name=us_fed_assets,国债收益率,利率（一年定期）http://www.pixun.net/news_hot/34520.html,PMI指数,GDP增速http://www.96369.net/indices/166,失业率https://data.stats.gov.cn/adv.htm?m=advquery&cn=A01,伦交所LME https://datacenter.jin10.com/reportType/dc_complex_report?isLink=1&reportType=dc_lme_report&kinds=%E5%BA%93%E5%AD%98(%E5%90%A8)&types=%E9%93%9C&pageTitle=%E4%BC%A6%E6%95%A6%E9%87%91%E5%B1%9E%E4%BA%A4%E6%98%93%E6%89%80%EF%BC%88LME%EF%BC%89%E5%BA%93%E5%AD%98%E6%8A%A5%E5%91%8A%20%20%20-%EF%BC%88%E5%A4%8D%E5%90%88%E6%8A%A5%E5%91%8A%EF%BC%89,纽交所NYMEX https://www.tongdow.com/zixun/tong/niuyue/2021-09-06-523106.html,上交所SHFE https://datacenter.jin10.com/reportType/dc_shfe_weekly_stock,美国通胀消费者物价指数（CPI）,人民币汇率（CFETS）,生产价格指数（PPI）https://data.eastmoney.com/cjsj/foreign_0_6.html
2013/12/31,51904.40 ,2.53,40080.62,4.63,2.75,51,7.7,5.2,297200,218849,154671,1.7,6.0922,0
2014/1/10,52113.10 ,1.54,40281.85,4.55,2.75,50.5,7.4,5.2,337500,198017,224340,1.7,6.06,0
2014/2/10,50965.50 ,0.73,41194.74,4.42,2.75,50.2,7.4,5.1,338800,247754,140789,1.6,6.1448,0.3
2014/3/10,48489.50 ,2.56,41813.61,4.48,2.75,50.3,7.4,4.8,166025,175850,117245,1.6,6.2164,0.2
2014/4/10,47300.00 ,0.7,42963.39,4.33,2.75,50.4,7.5,5.1,177025,168754,82092,1.6,6.2591,0.3
2014/5/10,49357.70 ,1.15,43366.49,4.16,2.75,50.8,7.5,4.9,250025,175850,78571,1.8,6.2471,0.5
2014/6/10,49602.40 ,2.31,43409.04,4.06,2.75,51,7.5,4.8,297200,168754,86500,1.9,6.2036,-0.2
2014/7/10,51746.50 ,-1.27,43770.32,4.298,2.75,51.7,7.3,5,159075,26254,81929,1.9,6.1737,0.4
2014/8/10,50499.40 ,0.27,44137.36,4.248,2.75,51.1,7.3,5.1,146175,23316,108393,1.9,6.143,0.1
2014/9/10,50361.50 ,0.38,44319.23,4.028,2.75,51.1,7.3,4.9,147825,247754,74336,1.7,6.138,0
2014/10/10,48528.80 ,-0.23,44743.6,3.786,2.75,50.8,7.3,5.2,159550,130796,82770,1.7,6.1124,-0.1
2014/11/10,48145.40 ,0.78,44888.95,3.546,2.75,50.3,7.3,5.1,159950,147119,89570,1.8,9.1429,0.2
2014/12/10,46607.60 ,1.64,44976.6,3.648,2.75,50.1,7.3,4.8,166025,162330,86223,1.7,9.2046,-0.2
2015/1/10,45642.20 ,1.17,45000.64,3.514,2.75,49.8,7,4.8,177025,24940,111915,1.6,6.2495,-0.3
2015/2/10,41222.40 ,1.18,45016.85,3.379,2.75,49.9,7,5.1,250025,24110,154671,1.6,6.2695,-0.8
2015/3/20,42254.10 ,1.43,44892.79,3.623,2.5,50.1,7,4.9,297200,25325,224340,1.7,6.199,-0.5
2015/4/20,43660.60 ,0.43,44834.19,3.422,2.5,50.1,7,4.8,337500,26254,240775,1.8,6.2018,0.2
2015/5/20,45883.30 ,2.08,45011.88,3.591,2.25,50.2,7,5.1,338800,23316,188165,1.8,6.198,-0.4
2015/6/20,42731.00 ,1.99,44680.05,3.629,2,50.2,7,5,309275,26016,125191,1.7,6.2,0.5
2015/7/20,40983.40 ,1.49,44812.89,3.474,2,50,6.9,5.1,339475,33197,109001,1.8,6.2097,0.4
2015/8/20,39228.60 ,0.27,44751.05,3.394,1.75,49.7,6.9,4.9,356200,36000,124020,1.8,6.376,0.2
2015/9/20,40967.40 ,0.21,44974.84,3.276,1.75,49.8,6.9,4.8,335850,39825,140844,1.8,6.3556,0
2015/10/20,39747.30 ,0.09,45047.04,3.087,1.5,49.8,6.8,5.1,292950,56982,152934,1.9,6.318,-0.5
2015/11/20,36082.90 ,0.95,44920.12,3.088,1.5,49.6,6.8,4.9,258700,72749,197372,1.9,6.3981,-0.4
2015/12/20,35735.80 ,1.33,44804.36,2.863,1.5,49.7,6.8,4.8,236225,70150,170407,2,6.4921,0.3
2016/1/20,34994.00 ,1.73,45016.95,2.909,1.5,49.4,6.7,5.1,236650,68549,186231,2.1,6.5752,-0.2
2016/2/20,35440.70 ,0.59,44862.78,2.909,1.5,49,6.7,4.9,202450,67858,276904,2.2,6.5525,0.1
2016/3/20,37387.50 ,1.51,44784.85,2.886,1.5,50.2,6.7,4.8,184850,69258,305106,2.3,6.448,-0.2
2016/4/20,36679.60 ,-0.07,44928.5,2.946,1.5,50.1,6.7,5.1,141075,70115,360925,2.2,6.4739,-0.1
2016/5/20,35576.80 ,1.14,44737.41,2.995,1.5,50.1,6.7,4.9,156675,65012,286210,2.1,6.5798,0.2
2016/6/20,35612.40 ,1.97,44623.42,2.875,1.5,50,6.7,4.8,202150,60122,155235,2.2,6.6459,0.4
2016/7/20,37939.80 ,0.07,44722.02,2.805,1.5,49.9,6.7,5.1,222550,62446,174971,2.2,6.6371,0.5
2016/8/20,37242.40 ,1.3,44689.09,2.805,1.5,50.4,6.7,4.9,207150,65934,172619,2.2,6.6776,-0.4
2016/9/20,36875.50 ,0.36,44816.35,2.769,1.5,50.4,6.7,4.8,350600,64923,136329,2.3,6.6685,0
2016/10/20,37693.20 ,0.21,44576.98,2.744,1.5,51.2,6.8,5.1,338800,71386,102548,2.2,6.7735,0.3
2016/11/20,44771.80 ,0.72,44530.87,2.943,1.5,51.7,6.8,5.2,266150,81234,112551,2.2,6.8837,-0.1
2016/12/20,46349.90 ,1.28,44709.73,3.066,1.5,51.4,6.8,5.1,334525,83527,134377,2.1,6.943,0.5
2017/1/20,46862.70 ,2.2,44525.09,3.363,1.5,51.3,6.9,5.1,293400,95632,172979,2.2,6.8768,0.2
2017/2/28,48004.80 ,0.36,44562.36,3.358,1.5,51.6,6.9,4.9,251525,105688,295730,2.3,6.8665,0.6
2017/3/31,46750.80 ,1.14,44598.4,3.31,1.5,51.8,6.9,4.8,339025,130796,312584,2.2,6.8832,0.3
2017/4/30,46019.90 ,-0.25,44844.92,3.477,1.5,51.2,6.9,5.1,255425,147119,271267,2,6.89,-0.1
2017/5/31,45785.10 ,0.36,44708.52,3.67,1.5,51.2,6.9,4.9,339600,150213,215231,1.9,6.8098,0.5
2017/6/30,46337.60 ,1.85,44742.54,3.578,1.5,51.7,6.9,4.8,268450,162330,190262,1.7,6.7793,0
2017/7/31,49012.10 ,-0.19,44769.03,3.629,1.5,51.4,6.8,5.1,307275,165603,182804,1.7,6.724,0.2
2017/8/31,51942.60 ,1.01,44668.46,3.675,1.5,51.7,6.8,5.2,293950,170123,207777,1.7,6.5888,-0.1
2017/9/30,50500.40 ,0.65,44690.83,3.638,1.5,52.4,6.8,5.1,218725,188515,183582,1.7,6.6533,0.2
2017/10/31,54825.00 ,-0.07,44523.6,3.916,1.5,51.6,6.8,5.2,293450,185656,104242,1.7,6.6328,0.3
2017/11/30,53550.40 ,1,44585.52,3.917,1.5,51.8,6.8,4.9,260150,205810,127273,1.8,6.609,0.5
2017/12/31,54539.30 ,0.66,44371.48,3.915,1.5,51.6,6.8,4.9,195200,201654,158145,1.7,6.5063,0.4
2018/1/31,53209.80 ,1.81,44192.25,3.944,1.5,51.3,6.8,4.8,276675,211348,176233,1.8,6.2841,0.1
2018/2/28,52735.90 ,0.48,44348.63,3.857,1.5,50.3,6.8,5.1,332775,223108,186132,1.8,6.328,0.5
2018/3/10,51773.90 ,0.62,44012.22,3.778,1.5,51.5,6.8,5.1,319825,224563,268095,1.9,6.2726,0.2
